iz,iK,iS,z,K,S,V,HR,IK,Sprime,constrained
   1,   4,   3,  2.524620E-01,  6.424457E-02,  5.909457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.023039E-02,1
   1,   4,   4,  2.524620E-01,  6.424457E-02,  6.424457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.460788E-02,1
   1,   4,   5,  2.524620E-01,  6.424457E-02,  6.984337E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.936687E-02,1
   1,   4,   6,  2.524620E-01,  6.424457E-02,  7.593011E-02,           NaN,  0.000000E+00,  5.172414E-03,  6.454059E-02,1
   1,   4,   7,  2.524620E-01,  6.424457E-02,  8.254729E-02,           NaN,  0.000000E+00,  5.172414E-03,  7.016519E-02,1
   1,   4,   8,  2.524620E-01,  6.424457E-02,  8.974115E-02,           NaN,  0.000000E+00,  5.172414E-03,  7.627997E-02,1
   1,   4,   9,  2.524620E-01,  6.424457E-02,  9.756194E-02,           NaN,  0.000000E+00,  5.172414E-03,  8.292765E-02,1
   1,   4,  10,  2.524620E-01,  6.424457E-02,  1.060643E-01,           NaN,  0.000000E+00,  5.172414E-03,  9.015465E-02,1
   1,   4,  11,  2.524620E-01,  6.424457E-02,  1.153076E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  9.809263E-02,1
   1,   4,  12,  2.524620E-01,  6.424457E-02,  1.253565E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.066342E-01,1
   1,   4,  13,  2.524620E-01,  6.424457E-02,  1.362811E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.159201E-01,1
   1,   4,  14,  2.524620E-01,  6.424457E-02,  1.481578E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.260152E-01,1
   1,   4,  15,  2.524620E-01,  6.424457E-02,  1.610695E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.369902E-01,1
   1,   4,  16,  2.524620E-01,  6.424457E-02,  1.751064E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.489216E-01,1
   1,   4,  17,  2.524620E-01,  6.424457E-02,  1.903666E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.620654E-01,1
   1,   4,  18,  2.524620E-01,  6.424457E-02,  2.069568E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.761670E-01,1
   1,   4,  19,  2.524620E-01,  6.424457E-02,  2.249927E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.914976E-01,1
   1,   4,  20,  2.524620E-01,  6.424457E-02,  2.446004E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.079104E-01,1
   1,   4,  21,  2.524620E-01,  6.424457E-02,  2.659170E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.260294E-01,1
   1,   4,  22,  2.524620E-01,  6.424457E-02,  2.890912E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.457275E-01,1
   1,   4,  23,  2.524620E-01,  6.424457E-02,  3.142850E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  2.673960E-01,1
   1,   4,  24,  2.524620E-01,  6.424457E-02,  3.416744E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.904232E-01,1
